name,creator,creation_date,updater,update_date,closed_date,message
rails/rails,Aaron Patterson,1330622545000,Aaron Patterson,1330622545000,NaN,"v3.0.12"
rails/rails,Aaron Patterson,1329946286000,Aaron Patterson,1329946286000,NaN,"v3.0.12.rc1"
rails/rails,Jon Leighton,1321579157000,Jon Leighton,1321579157000,NaN,"v3.0.11"
rails/rails,Aaron Patterson,1313532617000,Aaron Patterson,1313532617000,NaN,"v3.0.10"
rails/rails,Aaron Patterson,1312502986000,Aaron Patterson,1312502986000,NaN,"v3.0.10.rc1"
rails/rails,Aaron Patterson,1308218580000,Aaron Patterson,1308218580000,NaN,"v3.0.9"
rails/rails,Aaron Patterson,1307914086000,Aaron Patterson,1307914086000,NaN,"v3.0.9.rc5"
rails/rails,Aaron Patterson,1307913680000,Aaron Patterson,1307913680000,NaN,"v3.0.9.rc4"
rails/rails,Aaron Patterson,1307659699000,Aaron Patterson,1307659699000,NaN,"v3.0.9.rc3"
rails/rails,Aaron Patterson,1307659004000,Aaron Patterson,1307659004000,NaN,"v3.0.9.rc2"
rails/rails,Aaron Patterson,1307567823000,Aaron Patterson,1307567823000,NaN,"v3.0.9.rc1"
rails/rails,Aaron Patterson,1307490718000,Aaron Patterson,1307490718000,NaN,"v3.0.8"
rails/rails,Aaron Patterson,1306800397000,Aaron Patterson,1306800397000,NaN,"v3.0.8.rc4"
rails/rails,Aaron Patterson,1306785256000,Aaron Patterson,1306785256000,NaN,"v3.0.8.rc3"
rails/rails,Aaron Patterson,1306512486000,Aaron Patterson,1306512486000,NaN,"v3.0.8.rc2"
rails/rails,Aaron Patterson,1306367075000,Aaron Patterson,1306367075000,NaN,"v3.0.8.rc1"
rails/rails,Aaron Patterson,1303160543000,Aaron Patterson,1303160543000,NaN,"v3.0.7"
rails/rails,Santiago Pastorino,1302887733000,Santiago Pastorino,1302887733000,NaN,"v3.0.7.rc2"
rails/rails,Santiago Pastorino,1302815761000,Santiago Pastorino,1302815786000,NaN,"v3.0.7.rc1"
rails/rails,Aaron Patterson,1302042198000,Aaron Patterson,1302042198000,NaN,"v3.0.6"
rails/rails,Aaron Patterson,1301549201000,Aaron Patterson,1301549201000,NaN,"v3.0.6.rc2"
